Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
109,144.05762718739754,170.48709124084974,4.984968590150077,0.0283203125,0.02783203125,0.02880859375,1300,0.0001693579310549,385.0,289,9216.0
110,229.9510460953481,263.0521400853761,4.830164663966942,0.01171875,0.0107421875,0.0126953125,1300,0.0002616882751473,159.0,181,484.0
111,279.07397207887857,186.4344115363617,4.853181889874274,0.01171875,0.01318359375,0.01025390625,1300,0.0001712568135566,231.0,194,1369.0
112,181.53281910153697,30.01464147478964,5.002444027795505,0.00634765625,0.00830078125,0.00439453125,1300,0.0002691623629725,74.0,125,2601.0
113,214.6707575441524,173.82028009550396,5.031998196047176,0.01416015625,0.01708984375,0.01123046875,1300,0.0002736540896316,125.0,196,5041.0
114,340.59412110967816,54.06061597339939,4.822461252734187,0.154541015625,0.14013671875,0.1689453125,1300,0.0001090629883317,2832.0,1342,2220100.0
115,180.1220221697515,94.19610211635543,5.028007444116979,0.0146484375,0.01416015625,0.01513671875,1300,0.0002880212100402,207.0,190,289.0
116,291.86635100690035,371.9908878685857,4.912741045139887,0.01171875,0.00732421875,0.01611328125,1300,0.0001120951072179,248.0,197,2601.0
117,233.48879954225325,293.5727779605057,4.833122306066247,0.01513671875,0.01171875,0.0185546875,1300,0.0002562209024672,217.0,208,81.0
118,114.78791604921804,186.72017345177213,4.732967979104671,0.005859375,0.0068359375,0.0048828125,1300,0.0002773505967784,76.0,103,729.0
119,9.941314519029865,138.4440640383526,4.802663496482155,0.02490234375,0.02880859375,0.02099609375,1300,0.0002910268669828,302.0,226,5776.0
120,173.8680392544796,181.60297206601587,4.836637543518275,0.017822265625,0.01806640625,0.017578125,1300,0.000308791428142,258.0,214,1936.0
121,233.8821600791917,233.5408804293761,4.967922844038365,0.021728515625,0.02392578125,0.01953125,1300,0.0003865788380046,418.0,261,24649.0
122,69.97409689946886,93.41478710632512,4.937602031629801,0.021484375,0.02099609375,0.02197265625,1300,0.0009321172088126,75.0,215,19600.0
123,187.86603827066952,136.2989792326665,5.034333870870927,0.015869140625,0.0126953125,0.01904296875,1300,0.000232563179151,236.0,202,1156.0
124,268.3407228508737,261.83504156384384,4.949166025252109,0.013671875,0.01171875,0.015625,1300,0.0001321750555541,319.0,206,12769.0
125,99.45406739381826,119.8493385265623,4.859117970007059,0.015625,0.02001953125,0.01123046875,1300,0.0003176977217354,164.0,177,169.0
126,258.1125314741671,186.88595237640703,4.90823449911869,0.00927734375,0.005859375,0.0126953125,1300,0.0001456343959761,109.0,169,3600.0
